Date,Streamflow
2013-05-16,230.01
2013-06-16,99.89
2013-07-16,0.00
2013-08-16,0.00
2013-09-16,926.69
2013-11-16,0.00
2013-12-16,0.00
2014-01-16,0.00
2014-02-16,228.07
2014-03-16,294.66
2014-04-16,729.11
2014-05-16,9.89
2014-06-16,0.00
2014-07-16,0.00
2014-08-16,0.00
2014-09-16,0.00
2014-11-16,0.00
2014-12-16,0.00
2015-01-16,68.30
2015-02-16,130.57
2015-03-16,386.78
2015-04-16,205.98
2015-05-16,171.52
2015-06-16,181.40
2015-07-16,70.87
2015-08-16,0.00
2015-09-16,0.00
2015-11-16,0.00
2015-12-16,145.70
2016-01-16,762.00
2016-02-16,0.00
2016-03-16,245.84
2016-04-16,149.83
2016-05-16,406.99
2016-06-16,0.00
2016-07-16,180.16
2016-08-16,0.00
2016-09-16,538.50
2016-11-16,0.00
2016-12-16,0.00
2017-01-16,569.88
2017-02-16,0.00
2017-03-16,255.54
2017-04-16,192.77
2017-05-16,253.18
2017-06-16,134.67
2017-07-16,259.47
2017-08-16,0.00
2017-09-16,534.76
2017-11-16,0.00
2017-12-16,19.94
2018-01-16,69.90
2018-02-16,126.16
2018-03-16,380.17
2018-04-16,174.73
2018-05-16,237.58
2018-06-16,460.55
2018-07-16,0.00
2018-08-16,0.00
2018-09-16,0.00
2018-11-16,346.25
2018-12-16,86.60
2019-01-16,149.53
2019-02-16,371.51
2019-03-16,0.00
2019-04-16,204.51
2019-05-16,329.52
2019-06-16,0.98
2019-07-16,3.11
2019-08-16,0.00
2019-09-16,0.00
2019-11-16,0.00
2019-12-16,434.89
2020-01-16,146.64
2020-02-16,445.14
2020-03-16,0.00
2020-04-16,671.31
2020-05-16,0.00
2020-06-16,106.36
2020-07-16,71.56
2020-08-16,22.56
2020-09-16,18.00
2020-11-16,0.00
2020-12-16,26.16
2021-01-16,66.94
2021-02-16,148.35
2021-03-16,151.45
2021-04-16,346.44
2021-05-16,51.92
2021-06-16,0.00
2021-07-16,15.95
2021-08-16,0.00
2021-09-16,526.91
